date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-02-27 09:50:00,5.1,5.11,5.11,5.1,1115.0,569600.0,5.094,,
2026-02-27 09:51:00,5.11,5.11,5.11,5.1,3410.0,1741993.0,5.095,,
2026-02-27 09:52:00,5.11,5.11,5.11,5.1,10618.0,5416798.0,5.095,,
2026-02-27 09:53:00,5.11,5.11,5.11,5.1,5828.0,2974972.0,5.096,,
2026-02-27 09:54:00,5.11,5.11,5.11,5.1,508.0,259411.0,5.096,,
2026-02-27 09:55:00,5.11,5.11,5.11,5.1,498.0,254350.0,5.096,,
2026-02-27 09:56:00,5.11,5.11,5.11,5.1,910.0,464359.0,5.096,,
2026-02-27 09:57:00,5.11,5.11,5.12,5.1,27127.0,13862208.0,5.098,,
2026-02-27 09:58:00,5.11,5.12,5.12,5.11,2550.0,1304019.0,5.098,,
2026-02-27 09:59:00,5.12,5.12,5.12,5.11,1287.0,658646.0,5.099,,
2026-02-27 10:00:00,5.12,5.12,5.12,5.11,1479.0,756433.0,5.099,,
2026-02-27 10:01:00,5.12,5.11,5.12,5.11,664.0,339539.0,5.099,,
2026-02-27 10:02:00,5.11,5.11,5.12,5.11,5269.0,2692996.0,5.099,,
2026-02-27 10:03:00,5.11,5.1,5.12,5.1,10108.0,5164801.0,5.1,,
2026-02-27 10:04:00,5.1,5.11,5.11,5.1,435.0,222085.0,5.1,,
2026-02-27 10:05:00,5.11,5.1,5.11,5.1,4572.0,2331964.0,5.1,,
2026-02-27 10:06:00,5.1,5.09,5.11,5.09,20514.0,10450541.0,5.099,,
2026-02-27 10:07:00,5.09,5.08,5.1,5.08,15081.0,7665055.0,5.098,,
2026-02-27 10:08:00,5.08,5.09,5.09,5.08,7060.0,3587347.0,5.098,,
2026-02-27 10:09:00,5.09,5.08,5.09,5.08,4739.0,2407861.0,5.097,,
2026-02-27 10:10:00,5.08,5.07,5.09,5.07,13620.0,6907370.0,5.096,,
2026-02-27 10:11:00,5.07,5.07,5.08,5.07,8665.0,4393325.0,5.095,,
2026-02-27 10:12:00,5.07,5.08,5.08,5.07,1433.0,726892.0,5.095,,
2026-02-27 10:13:00,5.08,5.08,5.08,5.07,2043.0,1037843.0,5.095,,
2026-02-27 10:14:00,5.08,5.09,5.09,5.08,361.0,183711.0,5.095,,
2026-02-27 10:15:00,5.09,5.09,5.09,5.08,224.0,113919.0,5.095,,
2026-02-27 10:16:00,5.09,5.09,5.09,5.08,1355.0,688573.0,5.095,,
