date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-03-05 09:55:00,4.35,4.36,4.36,4.36,443.0,193148.0,4.352,,
2026-03-05 09:56:00,4.36,4.36,4.36,4.35,257.0,112037.0,4.352,,
2026-03-05 09:57:00,4.36,4.35,4.36,4.35,7.0,3050.0,4.352,,
2026-03-05 09:58:00,4.35,4.34,4.35,4.34,1484.0,645463.0,4.352,,
2026-03-05 09:59:00,4.34,4.35,4.35,4.34,341.0,148004.0,4.351,,
2026-03-05 10:00:00,4.35,4.33,4.34,4.33,930.0,403422.0,4.351,,
2026-03-05 10:01:00,4.33,4.33,4.34,4.32,2272.0,983666.0,4.35,,
2026-03-05 10:02:00,4.33,4.33,4.33,4.33,938.0,406154.0,4.35,,
2026-03-05 10:03:00,4.33,4.32,4.34,4.32,632.0,273347.0,4.35,,
2026-03-05 10:04:00,4.32,4.32,4.33,4.32,183.0,79168.0,4.349,,
2026-03-05 10:05:00,4.32,4.33,4.33,4.32,1270.0,549508.0,4.349,,
2026-03-05 10:06:00,4.33,4.33,4.33,4.31,1342.0,579738.0,4.348,,
2026-03-05 10:07:00,4.33,4.32,4.33,4.32,264.0,114212.0,4.348,,
2026-03-05 10:08:00,4.32,4.33,4.33,4.33,54.0,23382.0,4.348,,
2026-03-05 10:09:00,4.33,4.33,4.33,4.33,49.0,21217.0,4.348,,
2026-03-05 10:10:00,4.33,4.33,4.33,4.32,99.0,42834.0,4.348,,
2026-03-05 10:11:00,4.33,4.32,4.32,4.32,1.0,432.0,4.348,,
2026-03-05 10:12:00,4.32,4.33,4.33,4.33,25.0,10820.0,4.348,,
2026-03-05 10:13:00,4.33,4.32,4.32,4.32,84.0,36288.0,4.348,,
2026-03-05 10:14:00,4.32,4.33,4.33,4.32,34.0,14707.0,4.348,,
2026-03-05 10:15:00,4.33,4.32,4.32,4.32,682.0,294624.0,4.348,,
2026-03-05 10:16:00,4.32,4.33,4.33,4.32,176.0,76042.0,4.347,,
2026-03-05 10:17:00,4.33,4.32,4.33,4.32,5.0,2161.0,4.347,,
2026-03-05 10:18:00,4.32,4.33,4.33,4.32,1706.0,738687.0,4.347,,
2026-03-05 10:19:00,4.33,4.33,4.33,4.33,7.0,3031.0,4.347,,
2026-03-05 10:20:00,4.33,4.33,4.34,4.33,5.0,2167.0,4.347,,
2026-03-05 10:21:00,4.33,4.34,4.34,4.33,45.0,19502.0,4.347,,
2026-03-05 10:22:00,4.34,4.33,4.34,4.33,220.0,95282.0,4.347,,
2026-03-05 10:23:00,4.33,4.32,4.33,4.32,515.0,222911.0,4.347,,
2026-03-05 10:24:00,4.32,4.33,4.33,4.32,201.0,86840.0,4.347,,
2026-03-05 10:25:00,4.33,4.33,4.33,4.32,27.0,11682.0,4.347,,
2026-03-05 10:26:00,4.33,4.32,4.32,4.32,28.0,12096.0,4.347,,
2026-03-05 10:27:00,4.32,4.33,4.33,4.33,7.0,3031.0,4.347,,
2026-03-05 10:28:00,4.33,4.33,4.33,4.33,401.0,173633.0,4.346,,
2026-03-05 10:29:00,4.33,4.33,4.33,4.32,448.0,193857.0,4.346,,
2026-03-05 10:30:00,4.33,4.33,4.33,4.32,189.0,81765.0,4.346,,
